Index,Service Time (ms),Inference Time (ms),Prepocess Time (ms),Cost ,Inference Time Per Frame,Service Time Per-frame (ms),Cost Per-Frame,latency_per_frame_avg,latency_per_frame_std,cost_per_frame_avg,cost_per_frame_std,latency_avg,latency_std
1,139.9332,69.95277,69.98043,0.0008262775711693,7.77253,15.54813,9.18086e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
2,139.02723,67.17089,71.85634,0.0008209279758945,7.46343,15.44747,9.12142e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
3,137.62156,67.01449,70.60707,0.0008126278052019,7.44605,15.29128,9.0292e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
4,136.92271,66.7345,70.18821,0.0008085012298176,7.41494,15.21363,8.98335e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
5,142.86858,68.13173,74.73685,0.0008436103616604,7.57019,15.87429,9.37345e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
6,142.64665,67.94137,74.70529,0.0008422999566346,7.54904,15.84963,9.35889e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
7,141.63947,67.81406,73.8254,0.0008363527247416,7.5349,15.73772,9.29281e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
8,141.09485,67.83805,73.2568,0.0008331368525661,7.53756,15.67721,9.25708e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
9,137.55576,66.78486,70.7709,0.0008122392634577,7.42054,15.28397,9.02488e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
10,137.78182,66.68359,71.09822,0.0008135740789264,7.40929,15.30909,9.03971e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
11,141.52166,71.46912,70.05253,0.0008356570802542,7.94101,15.72463,9.28508e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
12,136.86221,66.34018,70.52203,0.0008081439598938,7.37113,15.20691,8.97938e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
13,136.81973,66.17142,70.64831,0.0008078931535138,7.35238,15.20219,8.97659e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
14,136.60719,66.23738,70.36981,0.0008066381296076,7.35971,15.17858,8.96265e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
15,136.15189,66.23292,69.91896,0.0008039496564527,7.35921,15.12799,8.93277e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
16,137.28809,66.48394,70.80415,0.0008106586961176,7.3871,15.25423,9.00732e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
17,138.03652,67.52637,70.51016,0.000815078066915,7.50293,15.33739,9.05642e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
18,146.93351,67.01367,79.91984,0.0008676129780381,7.44596,16.32595,9.64014e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
19,142.90316,68.15907,74.74408,0.0008438145673588,7.57323,15.87813,9.37572e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
20,141.32406,67.93443,73.38963,0.0008344903272021,7.54827,15.70267,9.27211e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
21,141.85535,68.24524,73.61011,0.0008376274529652,7.5828,15.76171,9.30697e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
22,141.77758,68.15426,73.62332,0.0008371682780032,7.5727,15.75306,9.30187e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
23,148.01249,72.93118,75.08131,0.0008739841568569,8.10346,16.44583,9.71094e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
24,141.98842,68.09448,73.89393,0.0008384132047015,7.56605,15.77649,9.3157e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
25,138.0248,66.65993,71.36487,0.0008150088567544,7.40666,15.33609,9.05565e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
26,136.35631,66.45009,69.90622,0.0008051567274785,7.38334,15.1507,8.94619e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
27,137.65625,66.66236,70.99389,0.0008128326368092,7.40693,15.29514,9.03147e-05,7.494461400000001,0.17481868750233776,9.110689600000002e-05,1.8108463739323665e-06,138.8636476,2.760060724143265
