Index,Service Time (ms),Inference Time (ms),Prepocess Time (ms),Cost ,Inference Time Per Frame,Service Time Per-frame (ms),Cost Per-Frame,latency_per_frame_avg,latency_per_frame_std,cost_per_frame_avg,cost_per_frame_std,latency_avg,latency_std
30,66.52166,42.26578,24.25589,0.0003927971215871,14.08859,22.17389,0.0001309324,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
31,67.30312,42.90879,24.39433,0.0003974114511666,14.30293,22.43437,0.0001324705,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
32,65.79418,42.26203,23.53215,0.0003885014622545,14.08734,21.93139,0.0001295005,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
33,64.94155,42.35634,22.58521,0.0003834668467255,14.11878,21.64718,0.0001278223,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
34,66.2413,42.46107,23.78023,0.0003911416577636,14.15369,22.08043,0.0001303806,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
35,66.23089,42.12888,24.10201,0.0003910801769864,14.04296,22.07696,0.0001303601,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
36,65.92247,42.34784,23.57463,0.0003892589772365,14.11595,21.97416,0.000129753,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
37,66.31031,42.48588,23.82442,0.0003915491066782,14.16196,22.10344,0.0001305164,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
38,66.11645,42.368,23.74845,0.0003904044375788,14.12267,22.03882,0.0001301348,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
39,66.25646,42.35548,23.90098,0.0003912311686274,14.11849,22.08549,0.0001304104,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
40,66.53967,42.56838,23.97129,0.0003929034434159,14.18946,22.17989,0.0001309678,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
41,65.66918,42.3571,23.31208,0.0003877633622544,14.11903,21.88973,0.0001292545,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
42,66.38906,42.31862,24.07045,0.0003920141510117,14.10621,22.12969,0.0001306714,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
43,66.41132,42.30302,24.1083,0.0003921455564315,14.10101,22.13711,0.0001307152,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
44,66.54999,42.50509,24.0449,0.0003929644045716,14.16836,22.18333,0.0001309881,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
45,72.44178,46.90873,25.53305,0.0004277541989248,15.63624,24.14726,0.0001425847,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
46,67.32595,42.60881,24.71713,0.0003975462636549,14.20294,22.44198,0.0001325154,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
47,66.08878,42.43548,23.6533,0.0003902410517627,14.14516,22.02959,0.0001300804,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
48,66.77316,42.27465,24.49851,0.0003942821728823,14.09155,22.25772,0.0001314274,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
49,67.87864,43.01842,24.86022,0.0004008098052821,14.33947,22.62621,0.0001336033,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
50,67.10884,42.80433,24.30452,0.000396264284337,14.26811,22.36961,0.0001320881,14.234747,0.7187177447350246,0.000131362168,4.777839253237388e-06,66.7400242,2.4274360230078895
