Index,Service Time (ms),Inference Time (ms),Prepocess Time (ms),Cost ,Inference Time Per Frame,Service Time Per-frame (ms),Cost Per-Frame,latency_per_frame_avg,latency_per_frame_std,cost_per_frame_avg,cost_per_frame_std,latency_avg,latency_std
1,155.29078,75.08591,80.20488,0.0009169610213634,7.50859,15.52908,9.16961e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
2,155.45681,73.34412,82.1127,0.0009179414012118,7.33441,15.54568,9.17941e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
3,151.81555,72.52569,79.28986,0.0008964404596402,7.25257,15.18156,8.9644e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
4,153.09742,72.7177,80.37972,0.0009040096692355,7.27177,15.30974,9.0401e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
5,151.84049,72.61686,79.22364,0.0008965877489711,7.26169,15.18405,8.96588e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
6,151.3197,72.82759,78.49211,0.000893512570465,7.28276,15.13197,8.93513e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
7,151.3767,72.48574,78.89095,0.0008938491263499,7.24857,15.13767,8.93849e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
8,157.54531,77.33476,80.21055,0.0009302735405835,7.73348,15.75453,9.30274e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
9,150.85368,72.1835,78.67018,0.0008907608096644,7.21835,15.08537,8.90761e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
10,150.52509,72.45919,78.0659,0.0008888205278128,7.24592,15.05251,8.88821e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
11,150.49999,72.18763,78.31236,0.0008886723409517,7.21876,15.05,8.88672e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
12,150.36651,71.88725,78.47926,0.0008878841682481,7.18872,15.03665,8.87884e-05,7.326001,0.14933200857485313,9.052132399999999e-05,1.6307739726350796e-06,153.30125959999998,2.7617817164772154
