Index,Service Time (ms),Inference Time (ms),Prepocess Time (ms),Cost ,Inference Time Per Frame,Service Time Per-frame (ms),Cost Per-Frame,latency_per_frame_avg,latency_per_frame_std,cost_per_frame_avg,cost_per_frame_std,latency_avg,latency_std
1,66.91901,51.40794,15.51107,0.0003951433584384,25.70397,33.4595,0.0001975717,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
2,53.82855,36.63751,17.19104,0.0003178468043254,18.31876,26.91428,0.0001589234,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
3,53.37504,36.07628,17.29876,0.0003151689480014,18.03814,26.68752,0.0001575845,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
4,52.09854,35.87684,16.2217,0.0003076314708013,17.93842,26.04927,0.0001538157,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
5,51.03975,35.94857,15.09118,0.0003013795039903,17.97428,25.51988,0.0001506898,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
6,51.87856,36.48989,15.38867,0.0003063325033736,18.24495,25.93928,0.0001531663,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
7,52.71677,36.0298,16.68697,0.0003112819716862,18.0149,26.35838,0.000155641,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
8,52.27286,35.99608,16.27678,0.0003086607955375,17.99804,26.13643,0.0001543304,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
9,55.5297,40.31581,15.21388,0.0003278917430361,20.1579,27.76485,0.0001639459,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
10,57.55302,37.3241,20.22892,0.0003398390547817,18.66205,28.77651,0.0001699195,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
11,53.90449,36.16525,17.73924,0.0003182952325522,18.08262,26.95224,0.0001591476,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
12,51.9659,35.94093,16.02498,0.0003068482699391,17.97046,25.98295,0.0001534241,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
13,52.80064,36.19197,16.60867,0.0003117772249766,18.09598,26.40032,0.0001558886,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
14,57.66068,41.82769,15.83299,0.0003404747832641,20.91384,28.83034,0.0001702374,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
15,52.17349,35.79605,16.37744,0.0003080740001328,17.89802,26.08674,0.000154037,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
16,50.93191,35.81729,15.11462,0.0003007427657871,17.90864,25.46596,0.0001503714,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
17,54.37727,37.00233,17.37494,0.000321086892086,18.50116,27.18864,0.0001605434,18.3966656,1.234159524361677,0.00015697935599999998,8.10106602748453e-06,53.170085,2.743890917922394
