Timestamp,File Name,File Size(Byte),Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
52,108_2.jpg,24978,3.77306,16.49941,19.9824,40.25487,1.6988237184000004e-05,9.23234232135117e-05
53,108_3.jpg,165749,11.96887,40.85813,132.5992,185.4262,0.00011273053587200001,0.00023897507448159157
54,108_4.jpg,208357,17.70259,39.5246,166.6856,223.91279,0.000141709429696,0.0002587970460448414
55,108_5.jpg,129020,9.7759,37.74262,103.216,150.73452,8.775011456000001e-05,0.00021506144215948877
56,108_6.jpg,70470,5.87598,35.08325,56.376,97.33523,4.7928620160000006e-05,0.00018551312533393501
57,109_0.jpg,27471,5.97737,15.5747,21.9768,43.52886,1.8683796288000002e-05,9.808773366846143e-05
58,109_1.jpg,121270,9.12681,36.89233,97.016,143.03514,8.247912256000001e-05,0.0002083070163235068
59,109_2.jpg,4595,2.25137,13.1911,3.676,19.11846,3.1251881600000004e-06,7.056520778946578e-05
60,109_3.jpg,162871,13.33839,43.97545,130.2968,187.61064,0.000110773127488,0.0002591873713199049
61,109_4.jpg,218400,18.38977,42.01328,174.72,235.12305,0.0001485399552,0.0002731036739792675
62,109_5.jpg,63575,7.95977,35.05627,50.86,93.87603,4.323913760000001e-05,0.00019477862237617373
63,109_6.jpg,133866,9.96601,23.72954,107.0928,140.78835,9.104601484800001e-05,0.00015279172699116168
64,109_7.jpg,73264,6.57662,40.54121,58.6112,105.72902,4.982889779200001e-05,0.00021325635977461932
65,110_0.jpg,2743,2.25944,12.63913,2.1944,17.09297,1.865591104e-06,6.811507718451321e-05
66,110_1.jpg,150309,10.59151,29.33676,120.2472,160.17548,0.000102229359552,0.00018086890652924774
67,110_2.jpg,22718,5.19057,31.14477,18.1744,54.50974,1.5451147904000003e-05,0.00016468343439921736
68,110_3.jpg,158621,17.77096,46.98087,126.8968,191.64863,0.00010788258348800002,0.0002926940435677767
69,110_4.jpg,39021,5.5299,18.86894,31.2168,55.61564,2.6539274688e-05,0.0001109118987739086
