Timestamp,SLO,Batch Size,Images Number,Canvas efficiency,Remaining/Over time,QoS,QoS per frame,QoS per image
1684829515.256634,No,3,10,0.6138,0.0698,10.9454,3.6485,1.0945
1684829516.214216,No,2,9,0.5214,-0.1154,11.1196,5.5598,1.2355
1684829517.3993049,No,2,8,0.529,-0.0371,9.9366,4.9683,1.2421
1684829518.169306,No,2,8,0.5633,-0.1567,11.9335,5.9668,1.4917
1684829516.520446,No,3,8,0.6462,0.0062,13.5805,4.5268,1.6976
1684829519.595847,No,2,14,0.5088,-0.0802,10.5063,5.2532,0.7505
1684829516.947924,No,3,14,0.5726,-0.2143,13.1576,4.3859,0.9398
1684829518.482621,No,2,5,0.545,-0.0384,11.6313,5.8156,2.3263
1684829522.265716,No,1,2,0.7013,0.3673,9.9161,9.9161,4.958
1684829520.378907,No,3,10,0.451,0.0463,11.7981,3.9327,1.1798
1684829521.497758,No,2,8,0.4786,-0.0692,10.6874,5.3437,1.3359
1684829520.798965,No,3,12,0.4671,0.031,11.3785,3.7928,0.9482
1684829521.092159,No,2,15,0.5394,-0.0836,11.0888,5.5444,0.7393
1684829519.9569259,No,3,8,0.4841,0.043,12.2212,4.0737,1.5277
1684829520.165805,No,3,12,0.6762,0.0387,12.6186,4.2062,1.0515
1684829520.587351,No,3,12,0.5674,0.0501,12.2139,4.0713,1.0178
