Timestamp,SLO,Batch Size,Images Number,Canvas efficiency,Remaining/Over time,QoS,QoS per frame,QoS per image
1684829493.609056,Yes,2,8,0.5702,-0.0818,0.3925,0.1963,0.0491
1684829494.02092,Yes,2,7,0.5544,-0.0729,0.4876,0.2438,0.0697
1684829494.511012,No,2,6,0.5552,-0.1471,0.5443,0.2721,0.0907
1684829494.8211331,No,2,5,0.6212,-0.0378,1.1836,0.5918,0.2367
1684829495.100588,No,2,5,0.6479,-0.0907,0.9043,0.4521,0.1809
1684829495.863876,No,3,9,0.547,0.0257,1.0538,0.3513,0.1171
1684829495.647146,No,3,11,0.7082,0.0071,1.587,0.529,0.1443
1684829496.112957,No,2,10,0.4938,-0.0414,1.6485,0.8242,0.1648
1684829497.803945,No,2,9,0.5163,-0.0436,1.95,0.975,0.2167
1684829497.558708,No,3,8,0.4113,0.0221,2.1887,0.7296,0.2736
1684829499.7145011,No,2,4,0.3844,-0.0242,2.1033,1.0516,0.5258
1684829500.761138,No,2,6,0.6774,-0.0104,3.1419,1.5709,0.5236
1684829499.4465659,No,3,11,0.5875,-0.1809,4.431,1.477,0.4028
1684829500.449547,No,2,6,0.6191,-0.1255,3.982,1.991,0.6637
1684829501.564227,No,3,10,0.5477,-0.1644,4.4241,1.4747,0.4424
1684829501.931795,No,3,8,0.4273,-0.1061,4.0603,1.3534,0.5075
1684829503.564482,No,2,7,0.5696,-0.0332,3.5006,1.7503,0.5001
1684829503.10891,No,3,9,0.5373,0.0545,5.4384,1.8128,0.6043
1684829503.325474,No,3,9,0.6289,0.011,5.2245,1.7415,0.5805
1684829502.9003808,No,3,8,0.5316,0.055,5.647,1.8823,0.7059
1684829504.178167,No,2,5,0.7867,0.0027,4.7925,2.3962,0.9585
1684829504.270585,No,2,6,0.4389,-0.081,4.719,2.3595,0.7865
1684829505.47948,No,2,3,0.4945,0.0052,4.9656,2.4828,1.6552
1684829505.146174,No,2,5,0.4289,-0.0898,5.3006,2.6503,1.0601
1684829505.518852,No,2,2,0.4434,-0.0196,4.9285,2.4643,2.4643
1684829504.7013671,No,2,8,0.6202,-0.0761,5.7463,2.8732,0.7183
1684829504.91677,No,2,7,0.5184,-0.0759,6.6759,3.338,0.9537
1684829505.9603572,No,2,4,0.5277,-0.0274,5.6315,2.8158,1.4079
1684829506.2952561,No,3,8,0.5305,-0.1302,7.3641,2.4547,0.9205
1684829508.39851,No,2,3,0.3992,-0.0546,5.2673,2.6337,1.7558
1684829507.512435,No,2,7,0.5157,-0.0557,6.1542,3.0771,0.8792
1684829506.699947,No,2,5,0.4615,-0.0962,6.9654,3.4827,1.3931
1684829506.602926,No,3,9,0.6292,0.018,7.0592,2.3531,0.7844
1684829507.9964778,No,2,3,0.5358,-0.0998,7.7394,3.8697,2.5798
1684829508.2352378,No,2,4,0.5687,-0.1188,7.5001,3.7501,1.875
1684829507.7255402,No,2,5,0.4685,-0.0577,8.0105,4.0052,1.6021
1684829507.162194,No,3,10,0.5017,-0.1291,8.9053,2.9684,0.8905
1684829509.959133,No,2,5,0.563,-0.078,7.9717,3.9858,1.5943
1684829510.345676,No,2,5,0.5708,-0.0247,7.5858,3.7929,1.5172
1684829513.3935602,No,2,8,0.5069,-0.0325,8.7605,4.3802,1.0951
1684829511.387362,No,3,11,0.5629,-0.1895,10.779,3.593,0.9799
1684829512.287946,No,2,7,0.4932,-0.0053,9.8635,4.9318,1.4091
1684829512.078472,No,3,9,0.5138,0.042,10.0943,3.3648,1.1216
1684829510.7421172,No,3,11,0.6863,0.0082,11.4267,3.8089,1.0388
1684829510.968172,No,3,9,0.5491,-0.2129,11.1916,3.7305,1.2435
1684829515.70052,No,2,8,0.5439,-0.0354,9.4529,4.7265,1.1816
1684829513.7835379,No,3,8,0.4807,0.0324,11.3627,3.7876,1.4203
1684829515.048918,No,2,8,0.4969,-0.0022,10.1063,5.0532,1.2633
1684829514.0270011,No,2,9,0.5501,-0.0311,11.1274,5.5637,1.2364
1684829511.8515189,No,3,13,0.7314,0.0209,13.2862,4.4287,1.022
1684829514.450408,No,2,8,0.5158,-0.0329,10.7032,5.3516,1.3379
1684829514.841417,No,3,9,0.6043,0.0091,11.3584,3.7861,1.262
1684829515.98301,No,2,6,0.4435,-0.1001,10.2225,5.1112,1.7037
1684829517.161419,No,2,9,0.513,-0.0104,10.1613,5.0806,1.129
1684829516.387342,No,2,9,0.5498,-0.0793,10.9497,5.4749,1.2166
1684829517.599338,No,3,10,0.6459,-0.0158,9.7412,3.2471,0.9741
1684829519.340799,No,2,11,0.5787,-0.0356,10.7614,5.3807,0.9783
1684829518.6704562,No,3,7,0.3692,0.0178,11.4348,3.8116,1.6335
1684829518.306077,No,2,8,0.5441,-0.0801,11.8055,5.9027,1.4757
1684829519.095277,No,3,11,0.5334,0.0234,11.016,3.672,1.0015
1684829518.879843,No,3,10,0.4983,0.0036,11.2277,3.7426,1.1228
1684829519.785812,No,2,6,0.4924,-0.0568,12.3807,6.1904,2.0635
1684829521.677016,No,2,7,0.5251,-0.0317,10.5024,5.2512,1.5003
1684829521.321308,No,2,10,0.4846,-0.1063,10.8594,5.4297,1.0859
