Timestamp,File Name,File Size(Byte),Transmission Time (ms),Prepocess Time(ms),Inference Time(ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY),Bandwidth(Mbps)
1685970749,SEQ_01_101.jpg,2551064,2455.41175,175.91895,1126.27713,3757.60783,0.002087493,0.005867133,10
1685970753,SEQ_01_102.jpg,2505477,1101.62362,138.12037,1113.97051,2353.7145,0.000936556,0.005641419,10
1685970755,SEQ_01_103.jpg,2547420,433.44942,136.37953,1095.15425,1664.98321,0.000368501,0.005548813,10
1685970757,SEQ_01_104.jpg,2528940,455.00825,182.37563,1132.97233,1770.35621,0.00038683,0.005926379,10
1685970759,SEQ_01_105.jpg,2556606,423.42385,135.82986,1078.64258,1637.89629,0.000359978,0.005471955,10
1685970761,SEQ_01_106.jpg,2498258,437.48646,181.93188,1104.37745,1723.79579,0.000371933,0.005795566,10
1685970762,SEQ_01_107.jpg,2542981,459.6458,136.02115,1128.128,1723.79496,0.000390772,0.005695739,10
1685970764,SEQ_01_108.jpg,2522476,441.12838,137.17981,1152.29322,1730.60142,0.00037503,0.005809818,10
1685970766,SEQ_01_109.jpg,2544849,470.73804,136.5717,1134.70981,1742.01954,0.000400203,0.005727869,10
1685970768,SEQ_01_110.jpg,2505761,454.2149,134.37478,1130.62862,1719.21829,0.000386155,0.005699587,10
1685970770,SEQ_01_111.jpg,2544482,447.52644,136.98346,1088.63173,1673.14162,0.000380469,0.005522151,10
1685970772,SEQ_01_112.jpg,2527761,461.76876,136.43879,1113.11116,1711.31871,0.000392577,0.005629973,10
1685970773,SEQ_01_113.jpg,2555386,456.31433,135.95117,1166.45562,1758.72113,0.00038794,0.005868082,10
1685970775,SEQ_01_114.jpg,2516845,653.86775,134.32387,1110.1343,1898.32592,0.000555892,0.005607035,10
1685970777,SEQ_01_115.jpg,2555157,446.95052,135.75793,1154.50668,1737.21512,0.000379979,0.005813384,10
1685970779,SEQ_01_116.jpg,2533307,436.20932,136.99657,1092.16216,1665.36804,0.000370848,0.005538114,10
1685970781,SEQ_01_117.jpg,2559764,421.35711,135.66635,1141.89058,1698.91404,0.000358221,0.005756138,10
1685970783,SEQ_01_118.jpg,2516043,463.6592,136.27916,1134.33997,1734.27833,0.000394185,0.005724885,10
1685970785,SEQ_01_119.jpg,2552588,562.69223,136.33403,1117.98541,1817.01167,0.000478378,0.005651458,10
1685970787,SEQ_01_120.jpg,2528872,439.49998,135.72922,1118.83497,1694.06417,0.000373645,0.005652561,10
1685970789,SEQ_01_121.jpg,2562012,438.566,135.29615,1169.55452,1743.41667,0.000372851,0.005879091,10
1685970790,SEQ_01_122.jpg,2513245,456.21209,135.17967,1131.84466,1723.23642,0.000387853,0.005708691,10
1685970792,SEQ_01_123.jpg,2551954,600.984,135.49173,1134.14907,1870.62479,0.000510933,0.005720478,10
1685970794,SEQ_01_124.jpg,2536007,411.71288,136.39868,1138.83011,1686.94167,0.000350022,0.005745651,10
1685970796,SEQ_01_125.jpg,2556085,440.29288,135.7394,1137.39255,1713.42483,0.000374319,0.005736205,10
1685970798,SEQ_01_126.jpg,2508563,401.87155,135.21519,1108.70568,1645.79242,0.000341655,0.005604615,10
1685970800,SEQ_01_127.jpg,2547815,432.21303,181.51336,1094.20161,1707.928,0.00036745,0.005747841,10
1685970802,SEQ_01_128.jpg,2519047,434.62896,135.39766,1104.06254,1674.08917,0.000369504,0.00558452,10
1685970803,SEQ_01_129.jpg,2555050,440.35915,137.38577,1166.20224,1743.94717,0.000374376,0.005873403,10
1685970805,SEQ_01_130.jpg,2510815,445.16523,135.92754,1111.87848,1692.97125,0.000378462,0.005622117,10
1685970807,SEQ_01_131.jpg,2554130,435.82519,136.33951,1146.37568,1718.54038,0.000370521,0.005779375,10
1685970809,SEQ_01_132.jpg,2515635,436.34321,175.28869,1144.10881,1755.74071,0.000370962,0.005944622,10
1685970811,SEQ_01_133.jpg,2557435,431.05812,135.20623,1144.11186,1710.37621,0.000366468,0.005764072,10
1685970813,SEQ_01_134.jpg,2507010,474.31126,134.61941,1191.91058,1800.84125,0.00040324,0.005976752,10
1685970815,SEQ_01_135.jpg,2559960,434.89527,136.38356,1134.93634,1706.21517,0.000369731,0.005728042,10
1685970816,SEQ_01_136.jpg,2529800,445.78793,137.49536,1104.64516,1687.92846,0.000378991,0.005596595,10
1685970818,SEQ_01_137.jpg,2560456,403.51177,179.41345,1110.51524,1693.44046,0.00034305,0.005811871,10
1685970820,SEQ_01_138.jpg,2514746,440.33861,134.69261,1122.37361,1697.40483,0.000374358,0.005663832,10
1685970822,SEQ_01_139.jpg,2549107,420.02226,137.80966,1121.26071,1679.09263,0.000357086,0.00567286,10
1685970824,SEQ_01_140.jpg,2529193,472.38269,135.50546,1098.29572,1706.18388,0.000401601,0.005559028,10
1685970825,SEQ_01_141.jpg,2559581,462.23427,137.06162,1127.33845,1726.63433,0.000392973,0.005696869,10
1685970827,SEQ_01_142.jpg,2525047,442.15561,135.82917,1164.1408,1742.12558,0.000375903,0.005857105,10
