Timestamp,File Name,File Size(Byte),Transmission Time (ms),Inference Time(ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
1685524153.2415519,SEQ_01_147.jpg,2480295,248.0295,273.128,521.1575,1.25998986e-05,0.0008490078144
1685524154.7589571,SEQ_01_148.jpg,2533461,253.3461,272.553,525.8991,1.2869981880000002e-05,0.0008472225544
1685524156.305665,SEQ_01_149.jpg,2488662,248.8662,298.614,547.4802,1.2642402960000002e-05,0.0009281367472
1685524157.86081,SEQ_01_150.jpg,2527987,252.7987,267.885,520.6837,1.284217396e-05,0.000832729348
1685524159.403094,SEQ_01_151.jpg,2497087,249.7087,284.068,533.7767,1.2685201960000001e-05,0.0008829743264
1685524160.95001,SEQ_01_152.jpg,2550601,255.0601,267.813,522.8731,1.2957053080000002e-05,0.0008325058024
1685524162.492691,SEQ_01_153.jpg,2437067,243.7067,268.418,512.1247,1.238030036e-05,0.0008343842064
1685524164.0110998,SEQ_01_154.jpg,2538877,253.8877,268.534,522.4217,1.289749516e-05,0.0008347443632
1685524165.552758,SEQ_01_155.jpg,2505498,250.5498,296.128,546.6778,1.272792984e-05,0.0009204182144
1685524167.1105,SEQ_01_156.jpg,2549929,254.9929,267.781,522.7739,1.2953639320000002e-05,0.0008324064488
1685524168.65557,SEQ_01_157.jpg,2498138,249.8138,279.105,528.9188,1.269054104e-05,0.000867565204
1685524170.194317,SEQ_01_158.jpg,2543520,254.352,269.914,524.266,1.2921081600000002e-05,0.0008390289871999999
1685524171.7027042,SEQ_01_159.jpg,2515866,251.5866,276.957,528.5436,1.278059928e-05,0.0008608960936
1685524173.234297,SEQ_01_160.jpg,2555572,255.5572,267.445,523.0022,1.298230576e-05,0.000831363236
1685524174.750853,SEQ_01_161.jpg,2504888,250.4888,293.927,544.4158,1.2724831040000001e-05,0.0009135845496
1685524176.291776,SEQ_01_162.jpg,2547071,254.7071,269.119,523.8261,1.293912068e-05,0.0008365606712000001
1685524177.81759,SEQ_01_163.jpg,2519352,251.9352,287.157,539.0922,1.2798308160000002e-05,0.0008925650536
1685524179.345512,SEQ_01_164.jpg,2548325,254.8325,287.543,542.3755,1.2945491000000002e-05,0.0008937635064
1685524180.887347,SEQ_01_165.jpg,2510922,251.0922,280.589,531.6812,1.275548376e-05,0.0008721727271999999
1685524182.4160159,SEQ_01_166.jpg,2541263,254.1263,281.74,535.8663,1.2909616040000002e-05,0.000875746352
1685524183.9445388,SEQ_01_167.jpg,2511756,251.1756,296.73,547.9056,1.275972048e-05,0.000922287304
1685524185.4859679,SEQ_01_168.jpg,2547845,254.7845,279.242,534.0265,1.2943052600000001e-05,0.0008679905616
1685524187.013264,SEQ_01_169.jpg,2508212,250.8212,272.146,522.9672,1.2741716960000001e-05,0.0008459589008
1685524188.5307012,SEQ_01_170.jpg,2539899,253.9899,267.385,521.3749,1.290268692e-05,0.000831176948
1685524190.049193,SEQ_01_171.jpg,2514216,251.4216,272.91,524.3316,1.2772217280000001e-05,0.0008483309679999999
1685524191.5740612,SEQ_01_172.jpg,2544876,254.4876,270.448,524.9356,1.2927970079999999e-05,0.0008406869504000001
1685524193.0994701,SEQ_01_173.jpg,2507437,250.7437,270.216,520.9597,1.2737779960000001e-05,0.0008399666368
1685524194.6249018,SEQ_01_174.jpg,2539105,253.9105,295.659,549.5695,1.28986534e-05,0.0009189620632000001
1685524196.170527,SEQ_01_175.jpg,2522522,252.2522,275.352,527.6042,1.2814411759999999e-05,0.0008559128896
1685524197.6950269,SEQ_01_176.jpg,2553171,255.3171,277.362,532.6791,1.2970108680000002e-05,0.0008621535376
1685524199.230131,SEQ_01_177.jpg,2517448,251.7448,274.429,526.1738,1.278863584e-05,0.0008530471592
1685524200.739557,SEQ_01_178.jpg,2545700,254.57,269.583,524.153,1.2932156000000001e-05,0.0008380012984000001
1685524202.245754,SEQ_01_179.jpg,2527006,252.7006,273.784,526.4846,1.283719048e-05,0.0008510445632000001
1685524203.760511,SEQ_01_180.jpg,2555579,255.5579,293.639,549.1969,1.2982341320000001e-05,0.0009126903672
1685524205.304201,SEQ_01_181.jpg,2520974,252.0974,273.014,525.1114,1.2806547920000001e-05,0.0008486538672
1685524206.8114471,SEQ_01_182.jpg,2544530,254.453,277.009,531.462,1.29262124e-05,0.0008610575432000001
1685524208.338766,SEQ_01_183.jpg,2521799,252.1799,277.426,529.6059,1.281073892e-05,0.0008623522448000001
1685524209.851619,SEQ_01_184.jpg,2549887,254.9887,273.376,528.3647,1.295342596e-05,0.0008497778048000001
1685524211.35526,SEQ_01_185.jpg,2516528,251.6528,276.423,528.0758,1.278396224e-05,0.0008592381304
1685524212.871735,SEQ_01_186.jpg,2547904,254.7904,295.378,550.1684,1.2943352319999999e-05,0.0009180896143999999
1685524214.411453,SEQ_01_187.jpg,2527111,252.7111,293.275,545.9861,1.2837723880000002e-05,0.00091156022
