Timestamp,File Name,File Size(Byte),Transmission Time (ms),Prepocess Time(ms),Inference Time(ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY),Bandwidth(Mbps)
1685696178.984094,SEQ_01_101.jpg,2551064,2040.8512,196.44932,271.51335,2508.81387,0.0011636117201920004,0.0014539304953590034,10
1685696180.632947,SEQ_01_102.jpg,2505477,2004.3816,172.35894,247.68907,2424.42962,0.0011428182130560002,0.001305165080460161,10
1685696182.189889,SEQ_01_103.jpg,2547420,2037.936,203.33163,234.14714,2475.41477,0.0011619495897600004,0.0013592840794254093,10
1685696183.772074,SEQ_01_104.jpg,2528940,2023.152,194.12604,241.12301,2458.40105,0.0011535203443200004,0.0013523612537905572,10
1685696185.359248,SEQ_01_105.jpg,2556606,2045.2848,186.31358,248.1293,2479.72767,0.0011661395815680002,0.0013498582382239401,10
1685696186.955791,SEQ_01_106.jpg,2498258,1998.6064,200.87943,249.55197,2449.03781,0.0011395254250240001,0.0013994994323406368,10
1685696188.549651,SEQ_01_107.jpg,2542981,2034.3848,188.37222,256.05766,2478.81468,0.0011599248375680003,0.0013808659001238643,10
1685696190.1287282,SEQ_01_108.jpg,2522476,2017.9808,196.51332,237.64159,2452.13571,0.0011505719329280002,0.0013489641646780074,10
1685696191.720185,SEQ_01_109.jpg,2544849,2035.8792,199.28807,248.65213,2483.81941,0.0011607768846720002,0.0013917647578537463,10
1685696193.3048372,SEQ_01_110.jpg,2505761,2004.6088,212.42873,249.09693,2466.13445,0.0011429477534080003,0.001433944853289798,10
1685696194.9165702,SEQ_01_111.jpg,2544482,2035.5856,200.80458,240.15071,2476.54088,0.0011606094856960003,0.001370077958694473,10
1685696196.504262,SEQ_01_112.jpg,2527761,2022.2088,208.72733,238.06675,2469.00288,0.0011529825694080002,0.001388206258393824,10
1685696198.087935,SEQ_01_113.jpg,2555386,2044.3088,196.51337,239.10502,2479.92719,0.0011655831054080002,0.0013535079797398297,10
1685696199.6698,SEQ_01_114.jpg,2516845,2013.476,193.47517,249.58494,2456.5361,0.0011480034761600002,0.0013766130088444799,10
1685696201.244075,SEQ_01_115.jpg,2555157,2044.1256,193.84241,239.18075,2477.14876,0.0011654786520960002,0.0013454503125097602,10
1685696202.8203368,SEQ_01_116.jpg,2533307,2026.6456,187.95892,238.13004,2452.73456,0.0011555122552960003,0.0013239209998369215,10
1685696204.396907,SEQ_01_117.jpg,2559764,2047.8112,203.8031,295.00671,2546.62101,0.001167580033792,0.0015497047104682771,10
1685696206.029406,SEQ_01_118.jpg,2516043,2012.8344,199.81421,243.20498,2455.85359,0.0011476376615040002,0.0013764859879430383,10
1685696207.611062,SEQ_01_119.jpg,2552588,2042.0704,202.31606,244.08488,2488.47134,0.0011643068592640002,0.0013869856325816362,10
1685696209.2121751,SEQ_01_120.jpg,2528872,2023.0976,191.53588,241.61239,2456.24587,0.001153489327616,0.0013458387545015663,10
1685696210.7986162,SEQ_01_121.jpg,2562012,2049.6096,217.94532,244.19969,2511.75462,0.0011686054095360002,0.0014358678516555577,10
1685696212.4009442,SEQ_01_122.jpg,2513245,2010.596,208.3138,320.25348,2539.16328,0.0011463614153600003,0.0016420956870868801,10
1685696214.084831,SEQ_01_123.jpg,2551954,2041.5632,199.01139,240.10398,2480.67857,0.0011640176741120002,0.0013643653882548213,10
1685696215.684979,SEQ_01_124.jpg,2536007,2028.8056,199.15545,238.20108,2466.16213,0.0011567438008960004,0.0013589045506991445,10
1685696217.2784262,SEQ_01_125.jpg,2556085,2044.868,197.34611,242.11804,2484.33215,0.0011659019388800002,0.0013654482900179923,10
1685696218.852422,SEQ_01_126.jpg,2508563,2006.8504,206.55424,239.33716,2452.7418,0.0011442258240640002,0.001385403621201217,10
1685696220.4479182,SEQ_01_127.jpg,2547815,2038.252,198.14332,246.55748,2482.9528,0.0011621297603200001,0.0013817070319086311,10
1685696222.041047,SEQ_01_128.jpg,2519047,2015.2376,171.55956,242.77887,2429.57603,0.001149007870016,0.0012874379615657031,10
1685696223.598568,SEQ_01_129.jpg,2555050,2044.04,195.72761,245.30149,2485.0691,0.0011654298464000002,0.0013703071590166539,10
1685696225.198238,SEQ_01_130.jpg,2510815,2008.652,214.93089,257.00461,2480.58749,0.0011452530243200004,0.0014662653213724493,10
1685696226.803371,SEQ_01_131.jpg,2554130,2043.304,191.4207,244.87429,2479.59898,0.0011650102086400002,0.0013556086622107772,10
1685696228.3755462,SEQ_01_132.jpg,2515635,2012.508,222.59004,241.04428,2476.14232,0.0011474515612800002,0.0014404918470710514,10
1685696229.9881878,SEQ_01_133.jpg,2557435,2045.948,211.14885,246.38407,2503.48091,0.0011665177116800002,0.0014215481794785708,10
1685696231.592962,SEQ_01_134.jpg,2507010,2005.608,201.81271,238.05564,2445.47635,0.0011435174572800003,0.0013667032619025558,10
1685696233.1779509,SEQ_01_135.jpg,2559960,2047.968,210.15885,258.22789,2516.35475,0.0011676694348800002,0.0014552471661254762,10
1685696234.788658,SEQ_01_136.jpg,2529800,2023.84,216.7329,238.83041,2479.40331,0.0011539126144,0.0014154329679910093,10
1685696236.388237,SEQ_01_137.jpg,2560456,2048.3648,228.54613,284.14054,2561.05147,0.0011678956743680002,0.0015927895797062663,10
1685696238.062953,SEQ_01_138.jpg,2514746,2011.7968,201.52697,260.11644,2473.4402,0.001147046063488,0.0014343104403097182,10
1685696239.707734,SEQ_01_139.jpg,2549107,2039.2856,171.88218,241.36077,2452.52855,0.0011627190776960002,0.0012840366984713822,10
1685696241.268428,SEQ_01_140.jpg,2529193,2023.3544,180.24334,236.02025,2439.61799,0.0011536357447040004,0.0012934152075581252,10
1685696242.830341,SEQ_01_141.jpg,2559581,2047.6648,172.96918,244.18491,2464.81889,0.0011674965623680003,0.0012961800273481757,10
1685696244.411836,SEQ_01_142.jpg,2525047,2020.0376,186.50855,230.48072,2437.02687,0.0011517446380160004,0.0012956682916890829,10
1685696245.985792,SEQ_01_143.jpg,2501633,2001.3064,176.7576,253.55654,2431.62054,0.0011410648570240002,0.001337039328638464,10
1685696247.56807,SEQ_01_144.jpg,2532477,2025.9816,148.5741,241.65872,2416.21442,0.0011551336690560003,0.0012125948525052517,10
1685696249.1043048,SEQ_01_145.jpg,2477920,1982.336,179.39254,233.59904,2395.32758,0.0011302486937600003,0.0012832562564104794,10
1685696250.652659,SEQ_01_146.jpg,2513721,2010.9768,145.2954,287.9834,2444.2556,0.0011465785322880002,0.001346244018203765,10
1685696252.2203379,SEQ_01_147.jpg,2480295,1984.236,151.85225,242.40392,2378.49217,0.0011313319977600002,0.0012250865433175117,10
1685696253.752747,SEQ_01_148.jpg,2533461,2026.7688,189.952,240.22942,2456.95021,0.0011555824990080003,0.001336627256733924,10
1685696255.364015,SEQ_01_149.jpg,2488662,1990.9296,203.25219,254.02391,2448.2057,0.0011351484207360002,0.0014207508419722319,10
1685696256.964444,SEQ_01_150.jpg,2527987,2022.3896,171.49937,244.71587,2438.60483,0.0011530856543360002,0.0012932650555398315,10
1685696258.5299919,SEQ_01_151.jpg,2497087,1997.6696,187.1925,242.74364,2427.60573,0.0011389912991360003,0.0013358656995188444,10
1685696260.082004,SEQ_01_152.jpg,2550601,2040.4808,161.52959,244.60438,2446.61477,0.0011634005329280003,0.0012619647566020488,10
1685696261.624663,SEQ_01_153.jpg,2437067,1949.6536,194.85337,253.19452,2397.70148,0.0011116144965760003,0.0013920990725405514,10
1685696263.218752,SEQ_01_154.jpg,2538877,2031.1016,193.53746,241.959,2466.59807,0.0011580528882560001,0.001353129434147477,10
1685696264.7935328,SEQ_01_155.jpg,2505498,2004.3984,196.50079,241.7123,2442.61148,0.0011428277917440001,0.0013615639828711747,10
1685696266.362868,SEQ_01_156.jpg,2549929,2039.9432,166.51833,234.48888,2440.9504,0.0011630940149120004,0.0012460471636246888,10
1685696267.8939362,SEQ_01_157.jpg,2498138,1998.5104,191.11248,247.48874,2437.11161,0.0011394706896640002,0.0013627690404687076,10
1685696269.468813,SEQ_01_158.jpg,2543520,2034.816,184.59433,239.65592,2459.06625,0.0011601706905600003,0.0013182121855471283,10
1685696271.047177,SEQ_01_159.jpg,2515866,2012.6928,193.31053,242.16243,2448.16576,0.0011475569268480001,0.0013530564350087194,10
1685696272.633541,SEQ_01_160.jpg,2555572,2044.4576,179.76312,244.52162,2468.74233,0.001165667945216,0.001318319244492799,10
1685696274.1935081,SEQ_01_161.jpg,2504888,2003.9104,173.38839,239.47649,2416.77528,0.0011425495536640004,0.0012828628857370465,10
1685696275.762062,SEQ_01_162.jpg,2547071,2037.6568,155.36591,244.55937,2437.58208,0.0011617904010880003,0.0012426880061317234,10
1685696277.2903051,SEQ_01_163.jpg,2519352,2015.4816,150.67606,243.77453,2409.93219,0.0011491469890560003,0.0012256901860937476,10
1685696278.8169339,SEQ_01_164.jpg,2548325,2038.66,157.14028,235.63841,2431.43868,0.0011623623856000004,0.0012204992549415677,10
1685696280.3529,SEQ_01_165.jpg,2510922,2008.7376,195.45814,246.07259,2450.26833,0.0011453018300160002,0.0013718646238565443,10
