Timestamp,File Name,File Size(Byte),Transmission Time (ms),Prepocess Time(ms),Inference Time(ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY),Bandwidth(Mbps)
1685968153,SEQ_01_101.jpg,2551064,2040.8512,147.76872,1106.44404,3295.06396,0.001163612,0.00389508,10
1685968155,SEQ_01_102.jpg,2505477,2004.3816,138.69068,1139.0217,3282.09398,0.001142818,0.003968041,10
1685968157,SEQ_01_103.jpg,2547420,2037.936,139.73889,1120.4111,3298.08599,0.00116195,0.003913514,10
1685968159,SEQ_01_104.jpg,2528940,2023.152,138.66457,1143.49727,3305.31384,0.00115352,0.003981856,10
1685968161,SEQ_01_105.jpg,2556606,2045.2848,141.72664,1115.6334,3302.64483,0.00116614,0.003904851,10
1685968163,SEQ_01_106.jpg,2498258,1998.6064,140.28908,1126.72444,3265.61992,0.001139525,0.003934824,10
1685968165,SEQ_01_107.jpg,2542981,2034.3848,141.6752,1076.3041,3252.3641,0.001159925,0.003782582,10
1685968167,SEQ_01_108.jpg,2522476,2017.9808,140.18263,1109.74245,3267.90588,0.001150572,0.003881767,10
1685968168,SEQ_01_109.jpg,2544849,2035.8792,140.39807,1136.36066,3312.63793,0.001160777,0.003965081,10
1685968170,SEQ_01_110.jpg,2505761,2004.6088,139.79389,1080.9619,3225.36459,0.001142948,0.003791203,10
1685968172,SEQ_01_111.jpg,2544482,2035.5856,140.89596,1140.54698,3317.02854,0.001160609,0.003979624,10
1685968174,SEQ_01_112.jpg,2527761,2022.2088,186.21643,1120.80728,3329.23251,0.001152983,0.004059047,10
1685968176,SEQ_01_113.jpg,2555386,2044.3088,179.26993,1143.05646,3366.6352,0.001165583,0.004106559,10
1685968178,SEQ_01_114.jpg,2516845,2013.476,180.23779,1134.21536,3327.92914,0.001148003,0.004082114,10
1685968180,SEQ_01_115.jpg,2555157,2044.1256,140.05296,1111.65369,3295.83225,0.001165479,0.003887299,10
1685968182,SEQ_01_116.jpg,2533307,2026.6456,139.4626,1141.2244,3307.3326,0.001155512,0.003977277,10
1685968184,SEQ_01_117.jpg,2559764,2047.8112,141.27894,1108.80709,3297.89722,0.00116758,0.003882267,10
1685968185,SEQ_01_118.jpg,2516043,2012.8344,139.05175,1143.33698,3295.22313,0.001147638,0.003982561,10
1685968187,SEQ_01_119.jpg,2552588,2042.0704,187.8761,1093.38732,3323.33382,0.001164307,0.003979067,10
1685968189,SEQ_01_120.jpg,2528872,2023.0976,184.53325,1111.28921,3318.92006,0.001153489,0.00402427,10
1685968191,SEQ_01_121.jpg,2562012,2049.6096,140.90387,1106.51844,3297.03192,0.001168605,0.003873997,10
1685968193,SEQ_01_122.jpg,2513245,2010.596,138.76013,1135.04853,3284.40466,0.001146361,0.003955921,10
1685968195,SEQ_01_123.jpg,2551954,2041.5632,140.20445,1178.5571,3360.32475,0.001164018,0.004095491,10
1685968197,SEQ_01_124.jpg,2536007,2028.8056,142.85874,1124.76271,3296.42705,0.001156744,0.003936711,10
1685968199,SEQ_01_125.jpg,2556085,2044.868,139.83436,1098.28236,3282.98473,0.001165902,0.003845105,10
1685968200,SEQ_01_126.jpg,2508563,2006.8504,141.25752,1123.4245,3271.53242,0.001144226,0.003927585,10
1685968202,SEQ_01_127.jpg,2547815,2038.252,140.27581,1144.83752,3323.36533,0.00116213,0.00399102,10
1685968204,SEQ_01_128.jpg,2519047,2015.2376,139.82564,1081.49894,3236.56218,0.001149008,0.003792969,10
1685968206,SEQ_01_129.jpg,2555050,2044.04,141.45725,1114.98661,3300.48386,0.00116543,0.003902007,10
1685968208,SEQ_01_130.jpg,2510815,2008.652,138.93462,1165.00933,3312.59596,0.001145253,0.004049485,10
1685968210,SEQ_01_131.jpg,2554130,2043.304,140.22246,1187.10278,3370.62924,0.00116501,0.004122079,10
1685968212,SEQ_01_132.jpg,2515635,2012.508,141.5723,1160.01943,3314.09972,0.001147452,0.004042182,10
1685968214,SEQ_01_133.jpg,2557435,2045.948,139.55203,1153.10512,3338.60516,0.001166518,0.004014442,10
1685968216,SEQ_01_134.jpg,2507010,2005.608,140.08417,1107.4923,3253.18447,0.001143517,0.003874475,10
