Timestamp,File Name,File Size(Byte),Transmission Time (ms),Prepocess Time(ms),Inference Time(ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY),Bandwidth(Mbps)
1685960237.184757,SEQ_01_101.jpg,2551064,2040.8512,192.58231,4220.62504,6454.05854,0.0011636117201920004,0.013703126152337075,10
1685960243.0119429,SEQ_01_102.jpg,2505477,2004.3816,193.67356,4001.5761,6199.63126,0.0011428182130560002,0.013026411150578069,10
1685960248.623518,SEQ_01_103.jpg,2547420,2037.936,195.50173,4370.34114,6603.77887,0.0011619495897600004,0.014177028939670827,10
1685960255.694134,SEQ_01_104.jpg,2528940,2023.152,195.55799,4112.89221,6331.6022,0.0011535203443200004,0.013377876184065239,10
1685960261.420044,SEQ_01_105.jpg,2556606,2045.2848,195.78117,4245.10944,6486.17541,0.0011661395815680002,0.013789077181451118,10
1685960267.275456,SEQ_01_106.jpg,2498258,1998.6064,191.86631,4286.57638,6477.0491,0.0011395254250240001,0.013905668879436037,10
1685960273.1346729,SEQ_01_107.jpg,2542981,2034.3848,197.35245,4243.28573,6475.02299,0.0011599248375680003,0.013788293449206752,10
1685960279.0268018,SEQ_01_108.jpg,2522476,2017.9808,198.20439,4330.86135,6547.04654,0.0011505719329280002,0.014062843321971311,10
1685960284.971879,SEQ_01_109.jpg,2544849,2035.8792,198.19139,4294.00215,6528.07274,0.0011607768846720002,0.013948362518515181,10
1685960291.235138,SEQ_01_110.jpg,2505761,2004.6088,194.73748,4180.99839,6380.34467,0.0011429477534080003,0.013586784738490211,10
1685960297.052172,SEQ_01_111.jpg,2544482,2035.5856,217.01198,4264.32441,6516.92199,0.0011606094856960003,0.013914653214357066,10
1685960302.955353,SEQ_01_112.jpg,2527761,2022.2088,213.45419,4261.64118,6497.30417,0.0011529825694080002,0.013895276117194951,10
1685960308.81609,SEQ_01_113.jpg,2555386,2044.3088,201.33465,4046.35295,6291.99639,0.0011655831054080002,0.013189220438745413,10
1685960314.457676,SEQ_01_114.jpg,2516845,2013.476,192.3793,4222.43063,6428.28592,0.0011480034761600002,0.013708101848930775,10
1685960321.8109682,SEQ_01_115.jpg,2555157,2044.1256,193.69948,4322.7835,6560.60858,0.0011654786520960002,0.014023776346989982,10
1685960329.876719,SEQ_01_116.jpg,2533307,2026.6456,193.51706,4232.99265,6453.15531,0.0011555122552960003,0.013744427341398833,10
1685960335.747498,SEQ_01_117.jpg,2559764,2047.8112,193.92209,4455.58663,6697.31993,0.001167580033792,0.014436794692484867,10
1685960345.244992,SEQ_01_118.jpg,2516043,2012.8344,194.19633,4279.91464,6486.94538,0.0011476376615040002,0.013892219758284155,10
1685960351.130301,SEQ_01_119.jpg,2552588,2042.0704,194.18035,4227.25242,6463.50317,0.0011643068592640002,0.013728664461190247,10
1685960358.883899,SEQ_01_120.jpg,2528872,2023.0976,217.40675,4305.19792,6545.70227,0.001153489327616,0.01404278297631112,10
1685960364.834592,SEQ_01_121.jpg,2562012,2049.6096,194.48872,4384.9853,6629.08362,0.0011686054095360002,0.014219350937297122,10
1685960370.853068,SEQ_01_122.jpg,2513245,2010.596,198.22438,4362.57876,6571.39914,0.0011463614153600003,0.014161381598385476,10
1685960376.854342,SEQ_01_123.jpg,2551954,2041.5632,195.41538,4378.63291,6615.61149,0.0011640176741120002,0.014202505121476486,10
1685960386.1259809,SEQ_01_124.jpg,2536007,2028.8056,192.46749,4347.87168,6569.14477,0.0011567438008960004,0.01409784504570217,10
1685960392.223296,SEQ_01_125.jpg,2556085,2044.868,198.51844,4364.2874,6607.67384,0.0011659019388800002,0.014167599575136091,10
1685960398.173441,SEQ_01_126.jpg,2508563,2006.8504,216.67016,4048.77848,6272.29905,0.0011442258240640002,0.01324436495920445,10
1685960403.91671,SEQ_01_127.jpg,2547815,2038.252,219.7536,4210.11448,6468.12008,0.0011621297603200001,0.013754854424099024,10
1685960409.8126998,SEQ_01_128.jpg,2519047,2015.2376,192.9614,4335.33389,6543.53288,0.001149007870016,0.014060451200867333,10
1685960417.800965,SEQ_01_129.jpg,2555050,2044.04,218.51048,4040.43435,6302.98484,0.0011654298464000002,0.013224171936126962,10
1685960423.5484369,SEQ_01_130.jpg,2510815,2008.652,195.17938,4427.17797,6631.00936,0.0011452530243200004,0.014352495115804238,10
1685960429.7928362,SEQ_01_131.jpg,2554130,2043.304,195.06756,4172.05827,6410.42983,0.0011650102086400002,0.013560052273879472,10
1685960435.523852,SEQ_01_132.jpg,2515635,2012.508,194.61242,4399.16992,6606.29034,0.0011474515612800002,0.014263775396812811,10
1685960444.378939,SEQ_01_133.jpg,2557435,2045.948,194.13674,4006.80158,6246.88631,0.0011665177116800002,0.013044073280411388,10
1685960450.0059898,SEQ_01_134.jpg,2507010,2005.608,199.38657,4055.4544,6260.44897,0.0011435174572800003,0.013211430259179228,10
1685960457.618143,SEQ_01_135.jpg,2559960,2047.968,195.68833,4237.93616,6481.59249,0.0011676694348800002,0.013766517307237873,10
1685960463.415891,SEQ_01_136.jpg,2529800,2023.84,193.55793,4262.70469,6480.10262,0.0011539126144,0.01383680418257588,10
1685960469.311966,SEQ_01_137.jpg,2560456,2048.3648,192.82147,4254.16256,6495.34883,0.0011678956743680002,0.013807996025659214,10
1685960475.229426,SEQ_01_138.jpg,2514746,2011.7968,194.71107,4266.53828,6473.04615,0.001147046063488,0.013852286984984422,10
1685960481.0921001,SEQ_01_139.jpg,2549107,2039.2856,217.24055,4151.16122,6407.68737,0.0011627190776960002,0.013564013809287144,10
1685960489.510092,SEQ_01_140.jpg,2529193,2023.3544,197.23411,4235.9007,6456.4892,0.0011536357447040004,0.013764996936354492,10
1685960495.3729439,SEQ_01_141.jpg,2559581,2047.6648,201.45409,4036.16291,6285.2818,0.0011674965623680003,0.013157953252286404,10
1685960503.425994,SEQ_01_142.jpg,2525047,2020.0376,217.41403,4163.81316,6401.26479,0.0011517446380160004,0.01360383417330283,10
1685960509.206672,SEQ_01_143.jpg,2501633,2001.3064,194.50776,4172.13276,6367.94692,0.0011410648570240002,0.013558545502018878,10
1685960515.0001159,SEQ_01_144.jpg,2532477,2025.9816,193.10281,4316.95194,6536.03635,0.0011551336690560003,0.014003817994009871,10
1685960520.954816,SEQ_01_145.jpg,2477920,1982.336,215.50739,4187.53524,6385.37863,0.0011302486937600003,0.01367156675141469,10
1685960526.7983081,SEQ_01_146.jpg,2513721,2010.9768,214.98647,4248.06477,6474.02804,0.0011465785322880002,0.013857881486848375,10
1685960532.688249,SEQ_01_147.jpg,2480295,1984.236,190.25177,4415.14377,6589.63154,0.0011313319977600002,0.014299832063278459,10
1685960538.670043,SEQ_01_148.jpg,2533461,2026.7688,192.15345,3918.35654,6137.27879,0.0011555824990080003,0.012763311413847487,10
1685960544.386624,SEQ_01_149.jpg,2488662,1990.9296,195.3822,4157.32652,6343.63832,0.0011351484207360002,0.01351529002143696,10
1685960550.174281,SEQ_01_150.jpg,2527987,2022.3896,215.00861,4376.75896,6614.15716,0.0011530856543360002,0.014257519935811463,10
1685960556.128142,SEQ_01_151.jpg,2497087,1997.6696,214.87676,4389.37332,6601.91968,0.0011389912991360003,0.014296275663907614,10
1685960562.109687,SEQ_01_152.jpg,2550601,2040.4808,193.9959,4218.19571,6452.67241,0.0011634005329280003,0.01369997251693694,10
