Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,transmission Time (ms),Latency(ms),Idle Cost (CNY),Trigger Cost(CNY),
1685001907,101.jpg,578153,1024x1024,2,8,0.62279,578.153,357.28002,2.95E-05,0.001360379,
1685001908,102.jpg,548753,1024x1024,2,6,0.60351,548.753,218.57309,2.80E-05,0.000832627,
1685001910,103.jpg,518756,1024x1024,2,7,0.57709,518.756,230.71313,2.65E-05,0.000878817,
1685001911,104.jpg,526535,1024x1024,2,7,0.60241,526.535,207.26395,2.69E-05,0.000789598,
1685001912,105.jpg,476418,1024x1024,2,7,0.53792,476.418,204.36907,2.43E-05,0.000778583,
1685001913,106.jpg,525931,1024x1024,2,7,0.61383,525.931,213.2647,2.68E-05,0.00081243,
1685001915,107.jpg,716750,1024x1024,3,7,0.56469,716.75,287.91189,3.65E-05,0.001096447,
1685001916,108.jpg,723334,1024x1024,3,7,0.59524,723.334,279.87003,3.69E-05,0.00106585,
1685001917,109.jpg,805312,1024x1024,3,8,0.68303,805.312,291.18896,4.11E-05,0.001108916,
1685001919,110.jpg,701530,1024x1024,3,8,0.6391,701.53,320.26815,3.58E-05,0.001219556,
1685001920,111.jpg,668849,1024x1024,3,8,0.5987,668.849,279.20198,3.40E-05,0.001063308,
1685001921,112.jpg,686234,1024x1024,3,9,0.56306,686.234,301.31197,3.50E-05,0.001147432,
1685001923,113.jpg,651270,1024x1024,3,9,0.52665,651.27,297.21403,3.32E-05,0.00113184,
1685001924,114.jpg,547371,1024x1024,3,9,0.46751,547.371,275.12598,2.80E-05,0.001047799,
1685001926,115.jpg,585943,1024x1024,3,9,0.49484,585.943,271.72709,2.99E-05,0.001034867,
1685001927,116.jpg,591159,1024x1024,3,11,0.51354,591.159,279.08087,3.02E-05,0.001062847,
1685001928,117.jpg,635105,1024x1024,3,10,0.56418,635.105,284.45983,3.23E-05,0.001083313,
1685001930,118.jpg,667394,1024x1024,3,11,0.55936,667.394,283.08296,3.40E-05,0.001078074,
1685001931,119.jpg,621624,1024x1024,3,11,0.50901,621.624,298.56396,3.17E-05,0.001136976,
1685001932,120.jpg,570218,1024x1024,2,8,0.67457,570.218,232.86009,2.91E-05,0.000886986,
1685001934,121.jpg,565861,1024x1024,2,7,0.66386,565.861,213.18412,2.88E-05,0.000812123,
1685001935,122.jpg,559280,1024x1024,2,8,0.67964,559.28,213.90104,2.87E-05,0.000814851,
1685001936,123.jpg,659165,1024x1024,3,10,0.52495,659.165,306.48613,3.36E-05,0.001167118,
1685001938,124.jpg,689362,1024x1024,3,8,0.57183,689.362,279.27589,3.51E-05,0.001063589,
1685001939,125.jpg,769640,1024x1024,3,9,0.63832,769.64,289.17599,3.92E-05,0.001101257,
1685001940,126.jpg,778590,1024x1024,3,9,0.65125,778.59,292.43207,3.96E-05,0.001113646,
1685001942,127.jpg,757678,1024x1024,3,8,0.64856,757.678,301.27788,3.86E-05,0.001147302,
1685001943,128.jpg,713039,1024x1024,3,8,0.59979,713.039,297.99604,3.63E-05,0.001134815,
1685001944,129.jpg,780304,1024x1024,3,9,0.63522,780.304,302.82807,3.98E-05,0.0011532,
1685001946,130.jpg,743342,1024x1024,3,10,0.69343,743.342,307.31583,3.79E-05,0.001170275,
1685001947,131.jpg,711566,1024x1024,3,11,0.61692,711.566,313.0641,3.63E-05,0.001192146,
1685001949,132.jpg,642701,1024x1024,3,11,0.52315,642.701,286.06105,3.28E-05,0.001089405,
1685001950,133.jpg,699082,1024x1024,3,10,0.56569,699.082,292.88793,3.57E-05,0.00111538,
1685001951,134.jpg,745757,1024x1024,3,10,0.62885,745.757,309.93509,3.80E-05,0.001180241,
1685001953,135.jpg,730167,1024x1024,3,11,0.63688,730.167,303.09391,3.72E-05,0.001154212,
1685001954,136.jpg,699158,1024x1024,3,8,0.61876,699.158,298.06018,3.56E-05,0.001135059,
1685001955,137.jpg,697291,1024x1024,3,7,0.60477,697.291,284.63507,3.55E-05,0.00108398,
1685001957,138.jpg,725896,1024x1024,3,7,0.64327,725.896,287.19091,3.69E-05,0.001093704,
1685001958,139.jpg,760087,1024x1024,3,7,0.65031,760.087,300.52471,3.87E-05,0.001144436,
1685001960,140.jpg,737965,1024x1024,3,9,0.61451,737.965,303.07317,3.76E-05,0.001154133,
1685001961,141.jpg,648281,1024x1024,2,9,0.76913,648.281,225.25382,3.30E-05,0.000858046,
1685001962,142.jpg,626125,1024x1024,3,9,0.52436,626.125,294.88778,3.19E-05,0.001122989,
1685001964,143.jpg,662042,1024x1024,3,9,0.52808,662.042,296.32902,3.37E-05,0.001128473,
1685001965,144.jpg,662021,1024x1024,3,8,0.53478,662.021,298.22016,3.38E-05,0.001135668,
1685001966,145.jpg,635008,1024x1024,3,9,0.50658,635.008,286.88097,3.24E-05,0.001092525,
1685001968,146.jpg,641005,1024x1024,3,8,0.51086,641.005,630.45478,3.27E-05,0.002399754,
1685001969,147.jpg,674527,1024x1024,3,8,0.52798,674.527,296.52286,3.44E-05,0.00112921,
1685001971,148.jpg,708357,1024x1024,2,9,0.80985,708.357,231.19879,3.61E-05,0.000880665,
1685001972,149.jpg,712862,1024x1024,2,8,0.80187,712.862,249.46404,3.63E-05,0.000950161,
1685001973,150.jpg,698675,1024x1024,3,8,0.53566,698.675,302.68121,3.56E-05,0.001152641,
1685001975,151.jpg,661386,1024x1024,2,8,0.78543,661.386,525.44212,3.37E-05,0.002000202,
1685001976,152.jpg,651775,1024x1024,2,9,0.78969,651.775,213.63091,3.32E-05,0.000813823,
1685001978,153.jpg,614586,1024x1024,2,10,0.77291,614.586,215.7321,3.13E-05,0.000821817,
1685001979,154.jpg,681051,1024x1024,3,9,0.58364,681.051,315.35006,3.47E-05,0.001200844,
1685001980,155.jpg,683281,1024x1024,3,10,0.58267,683.281,301.79286,3.48E-05,0.001149261,
1685001982,156.jpg,754214,1024x1024,3,10,0.62764,754.214,302.74796,3.84E-05,0.001152895,
1685001983,157.jpg,727040,1024x1024,3,10,0.6183,727.04,313.36188,3.71E-05,0.001193279,
1685001985,158.jpg,801790,1024x1024,3,10,0.68678,801.79,308.51817,4.08E-05,0.00117485,
1685001986,159.jpg,765978,1024x1024,3,10,0.67711,765.978,297.52398,3.90E-05,0.001133019,
1685001987,160.jpg,730746,1024x1024,3,10,0.64175,730.746,292.32979,3.72E-05,0.001113256,
1685001989,161.jpg,810477,1024x1024,4,10,0.56428,810.477,379.30393,4.16E-05,0.001444176,
1685001990,162.jpg,848862,1024x1024,4,9,0.59636,848.862,367.70201,4.33E-05,0.001400033,
1685001992,163.jpg,801427,1024x1024,4,10,0.5504,801.427,723.94204,4.10E-05,0.002755455,
1685001993,164.jpg,790612,1024x1024,3,10,0.67954,790.612,624.48287,4.03E-05,0.002377032,
1685001995,165.jpg,785906,1024x1024,4,10,0.50437,785.906,406.80003,4.00E-05,0.001548793,
1685001997,166.jpg,797114,1024x1024,4,10,0.49539,797.114,367.1782,4.07E-05,0.00139804,
1685001998,167.jpg,734880,1024x1024,3,10,0.63333,734.88,295.48907,3.75E-05,0.001125277,
1685001999,168.jpg,823085,1024x1024,3,10,0.67929,823.085,306.78415,4.19E-05,0.001168252,
1685002001,169.jpg,800445,1024x1024,3,10,0.63479,800.445,304.64411,4.08E-05,0.00116011,
1685002002,170.jpg,824411,1024x1024,3,9,0.7339,824.411,307.85179,4.19E-05,0.001172314,
1685002004,171.jpg,916267,1024x1024,5,9,0.49384,916.267,499.63093,4.69E-05,0.001901996,
1685002005,172.jpg,769885,1024x1024,3,9,0.69904,769.885,292.15503,3.92E-05,0.001112591,
1685002007,173.jpg,770428,1024x1024,4,9,0.52093,770.428,355.94702,3.93E-05,0.001355307,
1685002008,174.jpg,695723,1024x1024,3,9,0.6589,695.723,646.51489,3.55E-05,0.00246086,
1685002010,175.jpg,653668,1024x1024,2,9,0.84731,653.668,208.79793,3.33E-05,0.000795434,
1685002011,176.jpg,723212,1024x1024,3,9,0.67679,723.212,311.49316,3.68E-05,0.001186169,
1685002012,177.jpg,723706,1024x1024,3,10,0.67152,723.706,296.80896,3.68E-05,0.001130299,
1685002014,178.jpg,779672,1024x1024,3,8,0.72746,779.672,288.78808,3.97E-05,0.001099781,
1685002015,179.jpg,823757,1024x1024,4,10,0.56676,823.757,357.47719,4.19E-05,0.001361129,
1685002016,180.jpg,828570,1024x1024,4,9,0.61929,828.57,359.40027,4.22E-05,0.001368446,
1685002018,181.jpg,811042,1024x1024,4,10,0.58121,811.042,365.97419,4.13E-05,0.001393459,
1685002019,182.jpg,646957,1024x1024,3,10,0.6337,646.957,280.2093,3.30E-05,0.00106714,
1685002021,183.jpg,676445,1024x1024,4,10,0.49309,676.445,346.4489,3.44E-05,0.001319169,
1685002022,184.jpg,726727,1024x1024,4,10,0.51609,726.727,346.9193,3.70E-05,0.001320959,
1685002023,185.jpg,690652,1024x1024,4,9,0.47501,690.652,348.28091,3.52E-05,0.001326139,
1685002025,186.jpg,659636,1024x1024,3,10,0.57889,659.636,571.80715,3.36E-05,0.002176612,
1685002026,187.jpg,591836,1024x1024,3,10,0.52434,591.836,273.25082,3.02E-05,0.001040665,
