Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
1685526822.762124,142.jpg,626125,1024x1024,3,9,0.52436,167.635,62.6125,230.2475,3.243150626983643e-06,0.0007561621480000001
1685526824.0817852,143.jpg,662042,1024x1024,3,9,0.52808,170.489,66.2042,236.6932,3.4841083232263188e-06,0.0007690188472
1685526825.4151092,144.jpg,662021,1024x1024,3,8,0.53478,168.119,66.2021,234.3211,3.473500830695801e-06,0.0007583424712
1685526826.729377,145.jpg,635008,1024x1024,3,9,0.50658,170.374,63.5008,233.8748,3.3427787541662597e-06,0.0007685007952
1685526828.05228,146.jpg,641005,1024x1024,3,8,0.51086,173.37,64.1005,237.4705,3.3671513472656252e-06,0.0007819971759999999
1685526829.373215,147.jpg,674527,1024x1024,3,8,0.52798,168.077,67.4527,235.5297,3.5454731403771975e-06,0.0007581532696
1685526830.689019,148.jpg,708357,1024x1024,2,9,0.80985,120.768,70.8357,191.6037,3.7069135094934084e-06,0.0005450356864
1685526831.955234,149.jpg,712862,1024x1024,2,8,0.80187,125.794,71.2862,197.0802,3.8106684888085936e-06,0.0005676768112
1685526833.2360709,150.jpg,698675,1024x1024,3,8,0.53566,168.262,69.8675,238.1295,3.664390364593506e-06,0.0007589866576
1685526834.56141,151.jpg,661386,1024x1024,2,8,0.78543,119.77,66.1386,185.9086,3.4731818300122074e-06,0.000540539896
1685526835.835667,152.jpg,651775,1024x1024,2,9,0.78969,123.454,65.1775,188.6315,3.4242004983825684e-06,0.0005571355792
1685526837.091821,153.jpg,614586,1024x1024,2,10,0.77291,120.418,61.4586,181.8766,3.2308596210888675e-06,0.0005434590064
1685526838.3676171,154.jpg,681051,1024x1024,3,9,0.58364,176.417,68.1051,244.5221,3.5805408149243165e-06,0.0007957233016
1685526839.6913202,155.jpg,683281,1024x1024,3,10,0.58267,174.3,68.3281,242.6281,3.600650171192627e-06,0.0007861866400000001
1685526841.019779,156.jpg,754214,1024x1024,3,10,0.62764,170.985,75.4214,246.4064,3.96857171274292e-06,0.000771253228
1685526842.3564632,157.jpg,727040,1024x1024,3,10,0.6183,169.929,72.704,242.633,3.823805819323731e-06,0.0007664961591999999
1685526843.665854,158.jpg,801790,1024x1024,3,10,0.68678,175.756,80.179,255.935,4.348427653582764e-06,0.0007927456288
1685526845.016268,159.jpg,765978,1024x1024,3,10,0.67711,169.318,76.5978,245.9158,3.951060417581787e-06,0.0007637437263999999
1685526846.323982,160.jpg,730746,1024x1024,3,10,0.64175,169.822,73.0746,242.8966,3.8106938418347173e-06,0.0007660141456
1685526847.661006,161.jpg,810477,1024x1024,4,10,0.56428,243.659,81.0477,324.7067,4.3847940370751956e-06,0.0010986350631999999
1685526849.087818,162.jpg,848862,1024x1024,4,9,0.59636,250.515,84.8862,335.4012,4.655633075905762e-06,0.0011295199719999999
1685526850.509674,163.jpg,801427,1024x1024,4,10,0.5504,241.938,80.1427,322.0807,4.353753718563233e-06,0.0010908823023999998
1685526851.92419,164.jpg,790612,1024x1024,3,10,0.67954,179.423,79.0612,258.4842,4.0884460297021485e-06,0.0008092647304
1685526853.261406,165.jpg,785906,1024x1024,4,10,0.50437,242.291,78.5906,320.8816,4.134036276691894e-06,0.0010924724968
1685526854.676924,166.jpg,797114,1024x1024,4,10,0.49539,242.73,79.7114,322.4414,4.407468907445069e-06,0.0010944501039999999
1685526856.090761,167.jpg,734880,1024x1024,3,10,0.63333,177.155,73.488,250.643,3.870403439398193e-06,0.000799047844
1685526857.423467,168.jpg,823085,1024x1024,3,10,0.67929,172.749,82.3085,255.0575,4.325848730999756e-06,0.0007791996952000001
1685526858.770902,169.jpg,794959,1024x1024,3,10,0.63479,172.183,79.4959,251.6789,4.159544693175049e-06,0.0007766499784
1685526860.106745,170.jpg,824411,1024x1024,3,9,0.7339,177.284,82.4411,259.7251,4.3121645458020026e-06,0.0007996289631999999
1685526861.424098,171.jpg,916267,1024x1024,5,9,0.49384,298.29,91.6267,389.9167,4.837716270278321e-06,0.001344736792
1685526862.870699,172.jpg,769885,1024x1024,3,9,0.69904,174.357,76.9885,251.3455,3.97081108427124e-06,0.0007864434136
1685526864.159254,173.jpg,770428,1024x1024,4,9,0.52093,249.68,77.0428,326.7228,3.9716316580603025e-06,0.001125758464
1685526865.555129,174.jpg,695723,1024x1024,3,9,0.6589,169.107,69.5723,238.6793,3.656394746280518e-06,0.0007627932136
1685526866.835117,175.jpg,653668,1024x1024,2,9,0.84731,125.617,65.3668,190.9838,3.4372203159155274e-06,0.0005668794616
1685526868.07439,176.jpg,723212,1024x1024,3,9,0.67679,177.823,72.3212,250.1442,3.7483431341638184e-06,0.0008020570504
1685526869.371739,177.jpg,723706,1024x1024,3,10,0.67152,178.766,72.3706,251.1366,3.7343444563793944e-06,0.0008063050768000001
1685526870.677,178.jpg,779672,1024x1024,3,8,0.72746,170.784,77.9672,248.7512,4.046581233144531e-06,0.0007703477631999999
1685526871.973513,179.jpg,823757,1024x1024,4,10,0.56676,254.318,82.3757,336.6937,4.2571738679528806e-06,0.0011466517263999999
1685526873.353652,180.jpg,828570,1024x1024,4,9,0.61929,243.645,82.857,326.502,4.2707476338439946e-06,0.001098571996
1685526874.744025,181.jpg,811042,1024x1024,4,10,0.58121,250.294,81.1042,331.3982,4.254411711745606e-06,0.0011285244112
1685526876.1413498,182.jpg,646957,1024x1024,3,10,0.6337,185.894,64.6957,250.5897,3.365340044802246e-06,0.0008384152912
1685526877.4506738,183.jpg,676445,1024x1024,4,10,0.49309,250.435,67.6445,318.0795,3.509700947747803e-06,0.0011291595879999998
1685526878.8236248,184.jpg,726727,1024x1024,4,10,0.51609,241.547,72.6727,314.2197,3.7619360284997564e-06,0.0010891209256
1685526880.1998599,185.jpg,690652,1024x1024,4,9,0.47501,238.684,69.0652,307.7492,3.640396067318115e-06,0.0010762236832
1685526881.576694,186.jpg,659636,1024x1024,3,10,0.57889,168.205,65.9636,234.1686,3.4270000171154785e-06,0.0007587298839999999
1685526882.863111,187.jpg,591836,1024x1024,3,10,0.52434,170.43,59.1836,229.6136,3.0737345025280762e-06,0.000768753064
1685526884.15099,188.jpg,629332,1024x1024,2,10,0.79487,127.983,62.9332,190.9162,3.2459740168176266e-06,0.0005775378184
1685526885.388934,189.jpg,671852,1024x1024,3,10,0.55271,172.713,67.1852,239.8982,3.5211653178979495e-06,0.0007790375224
1685526886.694963,190.jpg,736959,1024x1024,3,10,0.61263,172.268,73.6959,245.9639,3.856789878416748e-06,0.0007770328864
1685526887.990761,191.jpg,682700,1024x1024,3,10,0.55851,176.767,68.27,245.037,3.5462967899475096e-06,0.0007972999816
1685526889.289595,192.jpg,667900,1024x1024,2,10,0.80993,124.976,66.79,191.766,3.4536356590576174e-06,0.0005639918848
1685526890.5270138,193.jpg,526281,1024x1024,2,10,0.60509,120.763,52.6281,173.3911,2.9366697114453124e-06,0.0005450131623999999
1685526891.7585979,194.jpg,546749,1024x1024,2,9,0.64059,120.558,54.6749,175.2329,2.8691338801135256e-06,0.0005440896784
1685526892.992359,195.jpg,577235,1024x1024,3,8,0.45762,166.919,57.7235,224.6425,3.0325293714416503e-06,0.0007529367112
1685526894.2710578,196.jpg,588063,1024x1024,2,8,0.71926,118.062,58.8063,176.8683,3.042892018607178e-06,0.0005328456976
1685526895.4973261,197.jpg,530375,1024x1024,2,8,0.65668,121.797,53.0375,174.8345,2.785735950164795e-06,0.0005496711256
1685526896.728544,198.jpg,464899,1024x1024,2,8,0.59142,116.803,46.4899,163.2929,2.4430167425402835e-06,0.0005271741544
1685526897.9398148,199.jpg,470086,1024x1024,2,9,0.52037,120.663,47.0086,167.6716,2.466387233240967e-06,0.0005445626824000001
1685526899.1493142,200.jpg,552648,1024x1024,2,8,0.64786,122.8,55.2648,178.0648,2.8545419889257814e-06,0.00055418944
1685526900.379404,201.jpg,639139,1024x1024,3,8,0.49943,171.472,63.9139,235.3859,3.347861619572754e-06,0.0007734470656000001
1685526901.678105,202.jpg,602757,1024x1024,3,8,0.49501,166.066,60.2757,226.3417,3.151813547213135e-06,0.0007490941168
1685526902.961374,203.jpg,658443,1024x1024,3,9,0.52382,172.09,65.8443,237.9343,3.4108384494909666e-06,0.0007762310319999999
1685526904.246575,204.jpg,504221,1024x1024,2,8,0.66898,113.838,50.4221,164.2601,2.7038879581677246e-06,0.0005138174223999999
1685526905.460742,205.jpg,715315,1024x1024,3,8,0.59419,175.233,71.5315,246.7645,3.6992879662658693e-06,0.0007903896184
1685526906.760231,206.jpg,572668,1024x1024,3,9,0.49347,171.401,57.2668,228.6678,3.0195512557043458e-06,0.0007731272248
1685526908.036188,207.jpg,542522,1024x1024,2,9,0.67088,116.953,54.2522,171.2052,2.8033078072106935e-06,0.0005278498744
1685526909.239308,208.jpg,515659,1024x1024,2,8,0.68918,115.692,51.5659,167.2579,2.666226072355957e-06,0.0005221693216000001
1685526910.4558752,209.jpg,598282,1024x1024,3,9,0.51942,172.834,59.8282,232.6622,3.1449831618066407e-06,0.0007795826032
1685526911.742582,210.jpg,458935,1024x1024,2,9,0.62089,116.84,45.8935,162.7335,2.42211827366333e-06,0.000527340832
1685526912.94679,211.jpg,509705,1024x1024,2,8,0.67881,117.315,50.9705,168.2855,2.6331819580139164e-06,0.000529480612
1685526914.141501,212.jpg,469875,1024x1024,3,8,0.44072,166.528,46.9875,213.5155,2.4413705938720704e-06,0.0007511753344000001
1685526915.410985,213.jpg,455080,1024x1024,2,9,0.65774,114.222,45.508,159.73,2.407052524267578e-06,0.0005155472656
1685526916.6307158,214.jpg,571734,1024x1024,3,9,0.5697,165.586,57.1734,222.7594,3.019929769499512e-06,0.0007469318128
1685526917.9110851,215.jpg,426791,1024x1024,2,8,0.50836,117.886,42.6791,160.5651,2.256125852631836e-06,0.0005320528528
1685526919.1102872,216.jpg,399050,1024x1024,2,9,0.45885,113.828,39.905,153.733,2.083747581695557e-06,0.0005137723744
1685526920.313333,217.jpg,517724,1024x1024,2,8,0.62801,116.062,51.7724,167.8344,2.71294225883667e-06,0.0005238360976
1685526921.540404,218.jpg,630404,1024x1024,3,9,0.56455,171.932,63.0404,234.9724,3.3112635077441407e-06,0.0007755192736
1685526922.829945,219.jpg,498175,1024x1024,3,9,0.41862,165.673,49.8175,215.4905,2.6377597731628417e-06,0.0007473237304
1685526924.0998652,220.jpg,510692,1024x1024,3,8,0.43976,163.558,51.0692,214.6272,2.6931586484216312e-06,0.0007377960784
1685526925.374632,221.jpg,548922,1024x1024,3,10,0.47641,168.523,54.8922,223.4152,2.8964750196130374e-06,0.0007601624104
1685526926.656503,222.jpg,420048,1024x1024,2,10,0.54222,115.761,42.0048,157.7658,2.2395665534704593e-06,0.0005224801528000001
1685526927.867593,223.jpg,447580,1024x1024,2,10,0.56694,115.726,44.758,160.484,2.366917764746094e-06,0.0005223224847999999
1685526929.076603,224.jpg,673960,1024x1024,2,11,0.84906,123.908,67.396,191.304,3.49281384208374e-06,0.0005591807584
1685526930.316353,225.jpg,625057,1024x1024,3,11,0.53597,166.877,62.5057,229.3827,3.2850091225305176e-06,0.0007527475096
1685526931.6100008,226.jpg,627856,1024x1024,2,9,0.80857,119.245,62.7856,182.0306,3.2834949912304685e-06,0.0005381748760000001
1685526932.847667,227.jpg,589560,1024x1024,3,11,0.49063,170.939,58.956,229.895,3.105362615704346e-06,0.0007710460072
1685526934.135371,228.jpg,606239,1024x1024,2,11,0.73726,118.473,60.6239,179.0969,3.254998342106934e-06,0.0005346971704
1685526935.3674629,229.jpg,566637,1024x1024,2,11,0.68134,117.411,56.6637,174.0747,2.9727083695153807e-06,0.0005299130728
1685526936.596998,230.jpg,487711,1024x1024,2,11,0.56114,120.59,48.7711,169.3611,2.5818169704846192e-06,0.000544233832
1685526937.81806,231.jpg,439299,1024x1024,2,10,0.52018,113.857,43.9299,157.7869,2.3247049447802737e-06,0.0005139030136
1685526939.028378,232.jpg,497365,1024x1024,3,10,0.40559,162.981,49.7365,212.7175,2.6071325410644535e-06,0.0007351968088
1685526940.299721,233.jpg,574737,1024x1024,2,10,0.69949,137.332,57.4737,194.8057,3.0286810460290528e-06,0.0006196531936
1685526941.555752,234.jpg,548820,1024x1024,2,10,0.7033,118.117,54.882,172.999,2.8864976501708986e-06,0.0005330934616
