Timestamp,File Name,File Size(Byte),Canvas Size,Batch Size,Image Number,Canvas Efficiency,Prepocess Time(ms),Inference Time (ms),Transmission Time (ms),Latency (ms),Idle Cost (CNY),Trigger Cost(CNY)
66.65449821,151.jpg,661386,1024x1024,2,8,0.78543,65.64939,74.56987,529.1088,669.32806,0.000454224,0.00063266
67.91841908,152.jpg,651775,1024x1024,2,9,0.78969,53.44255,76.51872,521.42,651.38127,0.000444803,0.00058645
69.16443133,153.jpg,614586,1024x1024,2,10,0.77291,54.86986,70.20366,491.6688,616.74232,0.000422583,0.000564431
70.40972713,154.jpg,681051,1024x1024,3,9,0.58364,83.26051,105.62314,544.8408,733.72445,0.000465085,0.000851883
71.73350396,155.jpg,683281,1024x1024,3,10,0.58267,86.25387,106.85615,546.6248,739.73482,0.000467025,0.000870922
73.05791875,156.jpg,754214,1024x1024,3,10,0.62764,72.60498,99.51161,603.3712,775.48779,0.000514822,0.000776351
74.40024125,157.jpg,727040,1024x1024,3,10,0.6183,71.89809,102.5979,581.632,756.12799,0.00049586,0.00078707
75.71325592,158.jpg,801790,1024x1024,3,10,0.68678,71.70492,163.60777,641.432,876.74469,0.000547341,0.001061037
77.08746246,159.jpg,765978,1024x1024,3,10,0.67711,64.94959,98.87057,612.7824,776.60256,0.000523002,0.000738977
78.37863913,160.jpg,730746,1024x1024,3,10,0.64175,59.42687,104.78454,584.5968,748.80822,0.000498532,0.00074074
79.68848983,161.jpg,810477,1024x1024,4,10,0.56428,104.79396,155.64847,648.3816,908.82403,0.000557286,0.001174241
81.09981038,162.jpg,848862,1024x1024,4,9,0.59636,95.84267,150.05242,679.0896,924.98469,0.000580484,0.001108708
82.5023935,163.jpg,801427,1024x1024,4,10,0.5504,93.15162,152.32539,641.1416,886.6186,0.000548442,0.001106825
83.90563571,164.jpg,790612,1024x1024,3,10,0.67954,83.45303,105.17435,632.4896,821.11698,0.00053966,0.000850729
85.23698417,165.jpg,785906,1024x1024,4,10,0.50437,76.39921,150.17816,628.7248,855.30217,0.000536933,0.001021686
86.61335442,166.jpg,797114,1024x1024,4,10,0.49539,76.31834,149.41149,637.6912,863.42103,0.00054541,0.001017868
87.99179867,167.jpg,734880,1024x1024,3,10,0.63333,79.11899,103.70046,587.904,770.72346,0.000501754,0.000824565
89.31234721,168.jpg,823085,1024x1024,3,10,0.67929,79.56063,100.13072,658.468,838.15934,0.000561649,0.000810474
90.64054279,169.jpg,800445,1024x1024,3,10,0.63479,75.19301,105.1954,640.356,820.74441,0.000546493,0.000813614
91.96816892,170.jpg,824411,1024x1024,3,9,0.7339,78.22898,109.65642,659.5288,847.41421,0.000562801,0.000847386
93.30525842,171.jpg,916267,1024x1024,5,9,0.49384,96.56232,227.36239,733.0136,1056.93831,0.000628697,0.001460216
94.79945725,172.jpg,769885,1024x1024,3,9,0.69904,75.83916,107.23228,615.908,798.97944,0.00052563,0.0008257
96.11425979,173.jpg,770428,1024x1024,4,9,0.52093,99.65051,149.11718,616.3424,865.11008,0.000525171,0.001121649
97.50476183,174.jpg,695723,1024x1024,3,9,0.6589,63.47192,100.75931,556.5784,720.80963,0.000474521,0.000740829
98.79965746,175.jpg,653668,1024x1024,2,9,0.84731,59.46207,71.29955,522.9344,653.69602,0.00044581,0.000590055
100.0579633,176.jpg,723212,1024x1024,3,9,0.67679,70.73985,107.42025,578.5696,756.7297,0.000493788,0.000803576
101.3804746,177.jpg,723706,1024x1024,3,10,0.67152,78.57331,101.82713,578.9648,759.36524,0.000494151,0.000813668
102.7009435,178.jpg,779672,1024x1024,3,8,0.72746,75.6677,101.90955,623.7376,801.31485,0.000532068,0.00080095
104.0270535,179.jpg,823757,1024x1024,4,10,0.56676,97.00552,153.13409,659.0056,909.14521,0.000562775,0.001127829
105.4318049,180.jpg,828570,1024x1024,4,9,0.61929,98.56413,148.92772,662.856,910.34785,0.000564889,0.001115901
106.8263037,181.jpg,811042,1024x1024,4,10,0.58121,100.16079,165.13455,648.8336,914.12893,0.000553935,0.001196102
108.2386741,182.jpg,646957,1024x1024,3,10,0.6337,70.49647,103.24945,517.5656,691.31152,0.00044194,0.000783691
109.5438609,183.jpg,676445,1024x1024,4,10,0.49309,84.46783,143.21154,541.156,768.83537,0.000462339,0.00102665
110.9130672,184.jpg,726727,1024x1024,4,10,0.51609,75.41234,146.98719,581.3816,803.78113,0.000495938,0.001002865
112.280198,185.jpg,690652,1024x1024,4,9,0.47501,100.51742,158.52119,552.5216,811.56021,0.000471216,0.001167917
113.6775538,186.jpg,659636,1024x1024,3,10,0.57889,69.65326,100.66866,527.7088,698.03072,0.000450448,0.000768266
114.9788509,187.jpg,591836,1024x1024,3,10,0.52434,71.3491,100.74215,473.4688,645.56005,0.000404387,0.000776237
116.2735112,188.jpg,629332,1024x1024,2,10,0.79487,45.29883,71.13502,503.4656,619.89945,0.000429222,0.000525511
117.5119575,189.jpg,671852,1024x1024,3,10,0.55271,72.73568,101.40332,537.4816,711.6206,0.000458792,0.000785461
118.8124874,190.jpg,736959,1024x1024,3,10,0.61263,74.31309,113.27467,589.5672,777.15497,0.000502389,0.000846045
120.1390575,191.jpg,682700,1024x1024,3,10,0.55851,74.02881,99.36439,546.16,719.5532,0.00046632,0.000782102
121.4418652,192.jpg,667900,1024x1024,2,10,0.80993,60.63267,69.14316,534.32,664.09582,0.000455889,0.000585614
122.6886395,193.jpg,526281,1024x1024,2,10,0.60509,51.07616,68.2569,421.0248,540.35786,0.000359874,0.000538572
123.9171937,194.jpg,546749,1024x1024,2,9,0.64059,53.9391,77.16811,437.3992,568.50641,0.000376392,0.000591612
125.163135,195.jpg,577235,1024x1024,3,8,0.45762,74.49189,101.76275,461.788,638.04264,0.000394433,0.000794992
126.4576529,196.jpg,588063,1024x1024,2,8,0.71926,48.56623,69.304,470.4504,588.32063,0.000401202,0.000531982
127.6746536,197.jpg,530375,1024x1024,2,8,0.65668,56.8819,72.22436,424.3,553.40626,0.000361591,0.000582598
128.9028406,198.jpg,464899,1024x1024,2,8,0.59142,52.2627,73.68738,371.9192,497.86928,0.000317949,0.00056838
130.1292143,199.jpg,470086,1024x1024,2,9,0.52037,40.97416,67.71193,376.0688,484.75489,0.000321328,0.000490609
131.3356685,200.jpg,552648,1024x1024,2,8,0.64786,47.5021,69.55202,442.1184,559.17252,0.000377283,0.000528305
132.5615518,201.jpg,639139,1024x1024,3,8,0.49943,70.75582,100.25711,511.3112,682.32413,0.000435973,0.000771379
133.8597488,202.jpg,602757,1024x1024,3,8,0.49501,71.30686,97.77141,482.2056,651.28388,0.000411722,0.000762664
135.1527938,203.jpg,658443,1024x1024,3,9,0.52382,70.41875,101.07662,526.7544,698.24977,0.000449709,0.000773552
136.4507905,204.jpg,504221,1024x1024,2,8,0.66898,40.39186,69.67792,403.3768,513.44659,0.000344457,0.000496842
137.6738448,205.jpg,715315,1024x1024,3,8,0.59419,77.35519,99.53224,572.252,749.13943,0.00048848,0.000797842
138.9792297,206.jpg,572668,1024x1024,3,9,0.49347,67.93157,103.7872,458.1344,629.85317,0.000391245,0.000774559
140.2672896,207.jpg,542522,1024x1024,2,9,0.67088,48.68598,71.26011,434.0176,553.96369,0.000370579,0.000541333
141.4884464,208.jpg,515659,1024x1024,2,8,0.68918,50.77071,71.86775,412.5272,535.16566,0.000351541,0.000553462
142.6957945,209.jpg,598282,1024x1024,3,9,0.51942,72.68997,105.57873,478.6256,656.8943,0.000407742,0.000804065
143.9691098,210.jpg,458935,1024x1024,2,9,0.62089,50.47121,70.40109,367.148,488.0203,0.000312912,0.000545506
145.1810785,211.jpg,509705,1024x1024,2,8,0.67881,51.18504,69.9466,407.764,528.89564,0.000348179,0.000546674
146.4062557,212.jpg,469875,1024x1024,3,8,0.44072,67.97995,102.47523,375.9,546.35517,0.000321328,0.000768866
147.6784285,213.jpg,455080,1024x1024,2,9,0.65774,54.18226,74.97821,364.064,493.22447,0.000311245,0.000582842
148.9006477,214.jpg,571734,1024x1024,3,9,0.5697,73.8759,101.76882,457.3872,633.03192,0.000389814,0.000792244
150.184616,215.jpg,426791,1024x1024,2,8,0.50836,50.09207,73.07362,341.4328,464.59849,0.000291762,0.000555837
151.3970513,216.jpg,399050,1024x1024,2,9,0.45885,43.94346,70.53568,319.24,433.71914,0.000272694,0.000516706
152.6099567,217.jpg,517724,1024x1024,2,8,0.62801,54.67003,70.24939,414.1792,539.09862,0.000353546,0.000563737
153.8454373,218.jpg,630404,1024x1024,3,9,0.56455,72.36164,100.62657,504.3232,677.31141,0.000430587,0.000780277
155.1351981,219.jpg,498175,1024x1024,3,9,0.41862,75.15981,100.49184,398.54,574.19165,0.00034069,0.000792276
156.4229522,220.jpg,510692,1024x1024,3,8,0.43976,72.17351,102.33559,408.5536,583.0627,0.000348336,0.000787129
157.7102985,221.jpg,548922,1024x1024,3,10,0.47641,69.50323,108.75345,439.1376,617.39428,0.000375514,0.000804011
