Timestamp,SLO,Batch Size,Images Number,Canvas efficiency,Remaining/Over time,QoS,QoS per frame,QoS per image,Cost(CNY)
1685535145,Yes,4,7,0.4178,0.1395,0.2547,0.0637,0.0364,0.000613454
1685535145,Yes,3,8,0.5132,0.2053,0.1786,0.0595,0.0223,0.000430452
1685535145,Yes,3,10,0.645,0.178,0.1678,0.0559,0.0168,0.000404643
1685535146,Yes,3,10,0.5665,0.1626,0.1805,0.0602,0.018,0.000434973
1685535146,No,3,10,0.6491,-0.0688,0.3742,0.1247,0.0374,0.000900879
1685535146,Yes,3,10,0.6099,0.0974,0.2318,0.0773,0.0232,0.000558442
1685535146,Yes,3,8,0.6129,0.1706,0.1767,0.0589,0.0221,0.000425943
1685535146,Yes,3,7,0.5634,0.2004,0.1743,0.0581,0.0249,0.00042007
1685535146,Yes,3,8,0.5845,0.2103,0.1799,0.06,0.0225,0.000433698
1685535146,Yes,3,6,0.574,0.1962,0.169,0.0563,0.0282,0.000407471
1685535147,Yes,3,9,0.5846,0.1626,0.1819,0.0606,0.0202,0.000438424
1685535147,Yes,3,9,0.5189,0.1898,0.1811,0.0604,0.0201,0.000436514
1685535147,Yes,3,11,0.5453,0.0237,0.3118,0.1039,0.0283,0.000750922
1685535147,Yes,3,9,0.5126,0.175,0.1711,0.057,0.019,0.000412432
1685535147,Yes,3,8,0.5128,0.1886,0.181,0.0603,0.0226,0.000436367
1685535147,Yes,3,9,0.4797,0.2066,0.1696,0.0565,0.0188,0.000408823
1685535148,Yes,3,11,0.5403,0.1803,0.1762,0.0587,0.016,0.000424714
1685535148,Yes,3,13,0.6169,0.1305,0.1737,0.0579,0.0134,0.000418632
1685535148,Yes,3,12,0.6704,0.1244,0.1734,0.0578,0.0144,0.000417968
1685535148,Yes,3,12,0.5663,0.0589,0.2941,0.098,0.0245,0.000708153
1685535148,Yes,3,14,0.7188,0.1147,0.1798,0.0599,0.0128,0.00043327
